step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,14.158351991623922,0,0.0,0.9531602482518526,0,0.0,0.9556459746131356,0,0.0,0.9551874387811974,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,14.026063043465896,0,0.0,0.951139297758049,0,0.0,0.9872485304632891,0,0.0,0.9653045663536282,0,0.0,1.0,0,0.0
15.0,1,2.0,0.3333333333333333,6.902015293522724,1,2.0,0.06956241529587891,0,0.0,0.0953672918568346,0,0.0,0.910260045422222,0,0.0,0.8983555576733526,1,2.0
20.0,3,13.0,1.8571428571428572,7.49393367273711,2,10.0,0.00019122996224176127,1,3.0,0.4877533879494702,0,0.0,0.912514724103004,0,0.0,0.9336127806503909,3,13.0
25.0,1,3.0,0.2727272727272727,8.394381128368686,0,6.0,0.5898808125012122,0,0.0,0.9371270445836943,1,3.0,0.5630099357842491,0,0.0,0.4944836183680058,1,9.0
30.0,3,13.0,0.9285714285714286,10.042892949603905,0,0.0,0.9290461721838522,0,0.0,0.9374176522082023,1,10.0,0.739107807381335,2,7.0,0.307968273312985,3,17.0
35.0,0,0.0,0.0,9.980230090258596,0,0.0,0.9706683343033466,0,0.0,0.7228630029151395,0,2.0,0.6588053920705048,0,6.0,0.6008428960469716,0,8.0
40.0,3,8.0,0.42105263157894735,9.301871080362938,0,0.0,0.8030033888955066,1,3.0,0.7493917178438799,1,4.0,0.4052223675007984,1,7.0,0.668928741232822,3,14.0
45.0,1,8.0,0.4,9.330972228721546,0,0.0,0.7908713588328409,0,0.0,0.6933073629175385,0,3.0,0.6624539135445133,1,12.0,0.6126534764826288,1,15.0
50.0,2,4.0,0.21052631578947367,8.067952685757051,0,0.0,0.922572802814752,1,3.0,0.30506841949179836,0,0.0,0.7798804512907079,1,8.0,0.4600192779299169,2,11.0
55.0,5,14.0,0.6086956521739131,8.087507652407828,0,0.0,0.9433279458438495,1,4.0,0.4916962381838612,0,0.0,0.6176529351321954,4,17.0,0.3848885328739167,5,21.0
60.0,3,15.0,0.6,8.815200987435508,0,0.0,0.7103699912901085,1,6.0,0.7014809112255469,1,3.0,0.33606463538237447,1,19.0,0.5017576810841087,3,28.0
65.0,3,8.0,0.27586206896551724,8.902092016327114,1,4.0,0.8008032342626096,0,0.0,0.5921960982279881,0,3.0,0.7134832766496717,2,10.0,0.3257190862378421,3,17.0
70.0,1,4.0,0.14814814814814814,9.065095271562987,0,0.0,0.757416383975008,0,0.0,0.6246976427815428,0,0.0,0.9631911556373863,1,16.0,0.4236322313322179,1,16.0
75.0,5,24.0,0.9230769230769231,9.198046708379037,2,6.0,0.3950867349478472,0,0.0,0.6125406010612653,0,2.0,0.9240785535997986,3,26.0,0.5991404533752668,5,34.0
80.0,1,2.0,0.09090909090909091,7.051038589572789,0,8.0,0.17700512221234468,1,2.0,0.0008787937850233173,0,2.0,0.9570966727096071,0,18.0,0.5217772715912019,1,30.0
85.0,5,19.0,0.8636363636363636,8.222461828817659,0,0.0,0.730764421462486,1,9.0,0.6279191056127164,0,0.0,0.949561606149186,4,14.0,0.28818217802751994,5,23.0
90.0,4,13.0,0.52,8.676702302863905,1,2.0,0.7595871430112522,0,2.0,0.8993209643751962,0,0.0,1.0,3,24.0,0.04608471216650566,4,28.0
95.0,3,13.0,0.5416666666666666,9.630707986149105,1,7.0,0.7991493323043674,1,3.0,0.5621856524706196,0,0.0,0.9856897373807542,1,21.0,0.4200273006427368,3,31.0
100.0,1,10.0,0.47619047619047616,8.752161550968115,0,0.0,0.6535098563048949,0,2.0,0.34188150068775214,0,0.0,0.9568588059138254,1,12.0,0.4577613118874007,1,14.0
105.0,3,10.0,0.5,9.233172144532862,1,4.0,0.31164173853660687,1,6.0,0.6262347613099963,0,0.0,0.938575469153075,1,4.0,0.0015275664305523975,3,14.0
110.0,1,7.0,0.4117647058823529,9.44679470013527,0,3.0,0.21022787337947813,0,3.0,0.7643418639237369,0,0.0,1.0,1,9.0,0.0,1,15.0
115.0,1,1.0,0.0625,10.413058054179954,0,0.0,0.9366191870539972,1,3.0,0.23987988862730117,0,2.0,0.8647316190276534,0,2.0,0.9859673248457634,1,7.0
120.0,0,0.0,0.0,10.89988356836145,0,0.0,0.8863218491555042,0,3.0,0.15639713352109583,0,2.0,0.9193843976719817,0,2.0,0.960853401714901,0,7.0
125.0,1,1.0,0.0625,10.038418601304233,0,0.0,0.7664833937004885,0,0.0,0.9188650403191116,0,0.0,0.6651028688110407,1,3.0,0.03850981821513111,1,3.0
130.0,3,11.0,0.6875,7.756268751957763,0,0.0,0.45022854186410877,0,0.0,0.8117901805617147,1,1.0,0.001998057116695266,2,12.0,4.1983375441805284e-05,3,13.0
135.0,2,6.0,0.375,8.451740208081318,1,4.0,0.482177575588478,1,2.0,0.6421144388328773,0,0.0,0.795242922152272,0,7.0,0.22279788922275492,2,13.0
140.0,0,0.0,0.0,9.954190868846647,0,1.0,0.5024581816106745,0,0.0,0.907974358304263,0,0.0,0.8138499546022695,0,2.0,0.9793465535944583,0,3.0
