step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,10.445099371071343,0,0.0,0.8756991648407857,0,0.0,1.0,0,0.0,0.9138293457428801,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,12.550078611756218,0,0.0,0.9679835654081259,0,0.0,1.0,0,0.0,0.9573227932187741,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,8.387835627631924,0,0.0,0.7564978831873028,0,0.0,1.0,0,0.0,0.33149762631285057,0,0.0,1.0,0,0.0
20.0,3,6.0,1.2,5.137015497554302,2,4.0,0.48864281382879987,0,0.0,1.0,1,2.0,0.00036972653771090875,0,0.0,1.0,3,6.0
25.0,3,21.0,2.3333333333333335,7.530365767039074,2,14.0,0.5966639976988581,0,0.0,1.0,1,7.0,0.49339519896505935,0,0.0,1.0,3,21.0
30.0,4,39.0,3.25,7.184215015151454,3,27.0,0.4483865491167946,0,0.0,0.9983074031521861,1,12.0,0.6496229804868846,0,0.0,1.0,4,39.0
35.0,8,67.0,5.153846153846154,4.234988674677706,6,49.0,0.1702809137056463,0,0.0,0.9484443923162992,2,18.0,0.301720443541459,0,0.0,1.0,8,67.0
40.0,9,110.0,7.333333333333333,3.9571231462348138,7,82.0,0.00217247823355641,0,0.0,0.9645419207227139,2,28.0,0.4879866786866177,0,0.0,0.9983074031521861,9,110.0
45.0,8,90.0,4.7368421052631575,5.7427237740537525,5,91.0,0.2972207406459847,0,0.0,0.9741901290545378,3,40.0,0.37208875506852723,0,0.0,0.9638478928807928,8,131.0
50.0,8,113.0,5.380952380952381,6.546004297111611,4,70.0,0.3634515267457235,0,2.0,0.8480702486096318,4,56.0,0.17394964862561432,0,0.0,0.91988881581501,8,128.0
55.0,12,161.0,7.318181818181818,5.3486978199937605,7,94.0,0.046431038342291675,0,2.0,0.8476436773645448,5,80.0,0.16003895654384417,0,0.0,0.9507140134993733,12,176.0
60.0,14,227.0,8.73076923076923,5.4471939099058755,8,133.0,0.10973639500807356,0,2.0,0.7509262781067233,6,107.0,0.14289963927197166,0,0.0,0.9538990591553285,14,242.0
65.0,13,269.0,10.346153846153847,4.975606432526731,5,145.0,0.1677927897292469,2,6.0,0.38351475679460306,6,137.0,0.23679001513729975,0,0.0,0.9335510254165533,13,288.0
70.0,15,341.0,11.366666666666667,5.745707324462747,6,155.0,0.2443087553000372,3,23.0,0.6256800589745015,6,167.0,0.13803450977420656,0,0.0,0.9580812174413698,15,345.0
75.0,17,423.0,13.64516129032258,5.182198861325592,6,185.0,0.23287993282236413,3,38.0,0.5571039426205988,8,204.0,0.13797633253351504,0,0.0,0.97718376974091,17,427.0
80.0,20,517.0,15.666666666666666,4.590430495927498,6,215.0,0.23002516607947648,5,58.0,0.4522779613779695,9,248.0,0.01817686945341598,0,0.0,0.962522595719282,20,521.0
85.0,22,624.0,18.352941176470587,3.791100319851936,6,245.0,0.2847261557965548,6,86.0,0.19159861638573958,10,297.0,1.719964525349075e-06,0,0.0,0.9530744838533782,22,628.0
90.0,25,744.0,19.57894736842105,4.050659070531045,8,280.0,0.2445786569274757,7,121.0,0.12500097142105898,10,347.0,0.09090909090909091,0,0.0,0.8740163297274728,25,748.0
95.0,26,872.0,22.94736842105263,3.415590303209098,9,323.0,0.14251265264137772,7,156.0,0.1180520167813003,10,397.0,0.1307408443923612,0,0.0,0.7878988901732065,26,876.0
100.0,27,992.0,26.105263157894736,2.45387349581342,8,357.0,0.03515360294030801,7,191.0,0.26796275432535716,12,450.0,0.00045492174849334457,0,0.0,0.663931567274782,27,998.0
105.0,27,1127.0,26.209302325581394,4.047050903309868,8,395.0,0.2883576398768745,7,228.0,0.3910329971907351,12,510.0,1.5958050905715461e-06,0,0.0,0.9173521074775005,27,1133.0
110.0,29,1266.0,29.441860465116278,3.3282118983929014,10,439.0,0.1695234943093923,7,263.0,0.26457178141431353,12,570.0,0.0329272537958376,0,0.0,0.9684191426253831,29,1272.0
115.0,32,1420.0,34.63414634146341,2.043548265001969,11,492.0,0.11612896983937321,8,301.0,0.08441885684979,13,634.0,9.613913689934227e-07,0,0.0,0.9214789381998919,32,1427.0
120.0,33,1577.0,37.54761904761905,2.0195430817833215,10,536.0,0.03420324410126569,10,350.0,0.1592237206392593,13,699.0,0.0,0,0.0,0.8763905517672952,33,1585.0
125.0,33,1742.0,41.476190476190474,2.507651138493009,10,585.0,0.08684895046753689,10,402.0,0.23749758576212435,13,764.0,0.0,0,0.0,0.9951623557089855,33,1751.0
130.0,35,1911.0,44.44186046511628,1.754408011137802,11,637.0,0.08186998265766872,11,454.0,0.08383963407773799,13,829.0,0.0,0,0.0,0.9114655428297344,35,1920.0
135.0,37,2093.0,46.51111111111111,1.876268968688242,11,692.0,0.00182584881237798,13,516.0,0.12812945149496285,13,894.0,0.05904486731904864,0,0.0,0.9450575051511825,37,2102.0
140.0,39,2286.0,50.8,1.605283371363324,12,752.0,0.07301432771884621,13,581.0,0.1315931090218836,14,962.0,0.046914995548555966,0,0.0,0.9659542757707743,39,2295.0
145.0,37,2151.0,48.88636363636363,1.3356003390968973,9,696.0,0.10761337628132524,13,646.0,0.06688485269054883,15,1034.0,2.7140106486341345e-05,0,0.0,0.9225490644528545,37,2376.0
150.0,32,1928.0,43.81818181818182,2.120590482095009,4,405.0,0.13963001481538415,13,711.0,0.0,15,1111.0,0.14672702866255283,0,0.0,0.9247758546924144,32,2227.0
155.0,29,1952.0,39.83673469387755,3.195694714936658,1,412.0,0.42299501574746684,13,776.0,0.0,15,1186.0,0.1812633988787873,0,0.0,0.9660542063726962,29,2374.0
160.0,32,2107.0,42.14,2.4695229726783516,3,423.0,0.21726179178517877,13,841.0,0.09508090459929143,16,1263.0,0.1033515512323272,0,0.0,1.0,32,2527.0
165.0,37,2284.0,44.78431372549019,2.1710291992602655,6,449.0,0.11965278087194364,14,910.0,0.12109995320765957,17,1345.0,0.03590151557233098,0,0.0,1.0,37,2704.0
170.0,41,2481.0,46.81132075471698,2.2396698081588324,10,491.0,0.13904672263959134,14,980.0,0.09213619111758978,17,1430.0,0.02045182411305473,0,0.0,1.0,41,2901.0
175.0,45,2699.0,52.92156862745098,1.205376725134034,12,547.0,0.06906973535303722,15,1054.0,0.0,18,1518.0,4.790859948817207e-05,0,0.0,0.9350586992781076,45,3119.0
180.0,46,2929.0,55.264150943396224,1.8438462106990727,13,612.0,0.1794539828718184,15,1129.0,0.05895467752061434,18,1608.0,0.0,0,0.0,0.9848018833808381,46,3349.0
185.0,46,3159.0,60.75,1.3840360257124447,13,677.0,0.1269587527078358,15,1204.0,0.0628506311493218,18,1698.0,0.0,0,0.0,1.0,46,3579.0
190.0,48,3394.0,61.70909090909091,1.3063364784147524,14,743.0,0.07047808456864595,16,1283.0,0.05608241138214861,18,1788.0,0.0004165092618581369,0,0.0,0.980247905938492,48,3814.0
195.0,51,3643.0,63.91228070175438,1.3584371491851965,16,817.0,0.06288213809744163,16,1363.0,0.10855464991186745,19,1883.0,0.0,0,0.0,0.9514284371794274,51,4063.0
200.0,49,3770.0,67.32142857142857,1.1299304817581182,14,760.0,0.051641398221202506,16,1443.0,0.057180787023160096,19,1978.0,0.0,0,0.0,0.9509312910413117,49,4181.0
205.0,45,3808.0,68.0,1.7561574795068764,10,596.0,0.09137110949335595,16,1523.0,0.0,19,2075.0,0.12159566613703601,0,0.0,0.9771972861766434,45,4194.0
