step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,0_stopped,0_accumulated_waiting_time,0_average_speed,1_stopped,1_accumulated_waiting_time,1_average_speed,10_stopped,10_accumulated_waiting_time,10_average_speed,11_stopped,11_accumulated_waiting_time,11_average_speed,12_stopped,12_accumulated_waiting_time,12_average_speed,13_stopped,13_accumulated_waiting_time,13_average_speed,14_stopped,14_accumulated_waiting_time,14_average_speed,15_stopped,15_accumulated_waiting_time,15_average_speed,2_stopped,2_accumulated_waiting_time,2_average_speed,3_stopped,3_accumulated_waiting_time,3_average_speed,4_stopped,4_accumulated_waiting_time,4_average_speed,5_stopped,5_accumulated_waiting_time,5_average_speed,6_stopped,6_accumulated_waiting_time,6_average_speed,7_stopped,7_accumulated_waiting_time,7_average_speed,8_stopped,8_accumulated_waiting_time,8_average_speed,9_stopped,9_accumulated_waiting_time,9_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,13.91070376936838,0,0.0,0.9555685752534595,0,0.0,0.952798848234374,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9516793392734347,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9584360550968433,0,0.0,0.953609621406566,0,0.0,0.9593763534728839,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9499979710322175,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,13.5500063924094,0,0.0,0.948258623419258,0,0.0,0.9736010939350586,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9727090430028758,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9766892958198541,0,0.0,0.9739559260490896,0,0.0,0.8474131194008585,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.971816664201923,0,0.0,1.0,0,0.0
15.0,4,5.0,0.125,10.824251540041924,1,1.0,0.7416489980620216,1,2.0,0.7421064161098189,0,0.0,1.0,0,0.0,1.0,1,1.0,0.6322449886866488,0,0.0,1.0,0,0.0,1.0,0,0.0,1.0,0,0.0,0.8020596868460779,1,1.0,0.6996649822133696,0,0.0,0.9242134727631001,0,0.0,0.6477899081560112,0,0.0,0.9578703168459015,0,0.0,1.0,0,0.0,0.9391026726358896,0,0.0,0.9541242207869847,4,5.0
20.0,7,28.0,0.5,9.730209566464737,2,9.0,0.6451807413991115,2,9.0,0.6343339335453426,0,0.0,1.0,0,0.0,1.0,0,0.0,0.7305644127551042,0,2.0,0.41100488170241545,0,0.0,1.0,0,0.0,1.0,1,2.0,0.6081688064363876,2,8.0,0.5544817478589911,0,0.0,0.9440491212162057,0,0.0,0.923681896453135,0,0.0,0.4038485641706687,0,0.0,1.0,0,0.0,0.9456675857159397,0,0.0,0.9339875997202362,7,30.0
25.0,1,2.0,0.027777777777777776,9.764671421691677,0,2.0,0.6620277132457738,0,2.0,0.6729451507683278,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9720293578306889,0,2.0,0.8583169096111363,0,0.0,1.0,0,0.0,1.0,0,0.0,0.751617843844977,0,2.0,0.6352336449012393,0,4.0,0.675197347601672,0,4.0,0.6965884798620204,1,6.0,0.42790014572593466,0,4.0,0.4051069755426663,0,0.0,0.832195039291124,0,0.0,0.867785770332963,1,26.0
30.0,9,25.0,0.3125,10.27105479489936,2,5.0,0.6742264121054331,3,7.0,0.5246196231803611,0,2.0,0.3884017496908785,0,0.0,1.0,0,0.0,0.9280581091404493,0,2.0,0.9140988114927396,0,0.0,1.0,0,0.0,1.0,0,0.0,0.9505098174413482,0,0.0,0.9200821393934264,1,9.0,0.7039185041243402,0,4.0,0.9270309157457522,0,4.0,0.9509466513602466,0,4.0,0.8635474653647557,2,5.0,0.5432271774452903,1,3.0,0.176726350183389,9,45.0
35.0,12,60.0,0.625,9.920407265441067,3,19.0,0.5967094637332925,1,10.0,0.5223278525599793,0,4.0,0.6703150193548232,0,0.0,1.0,0,0.0,0.9476669096608141,0,0.0,0.8484372230610145,0,0.0,0.9370477384127391,0,0.0,1.0,0,2.0,0.822610389436041,0,0.0,0.9687646949129304,4,24.0,0.6671079593037493,0,4.0,0.9268619252679392,0,4.0,0.854973138651633,0,4.0,0.9312010006148268,4,18.0,0.42002438451082286,0,2.0,0.22498986426434625,12,91.0
40.0,5,18.0,0.16071428571428573,9.188596925540613,0,13.0,0.5989129852138536,3,15.0,0.4781528440844309,0,6.0,0.8916220216855981,0,0.0,0.9343995140886507,0,0.0,0.6240870047536312,0,0.0,0.8885228281122616,0,0.0,0.9333220693862316,0,0.0,1.0,0,4.0,0.7446520289834581,0,0.0,0.961740167914456,1,19.0,0.46628085672064545,0,4.0,0.698238967339203,1,4.0,0.5102642672194202,0,1.0,0.7675259416563067,0,12.0,0.5618410502831488,0,4.0,0.7677706120211173,5,82.0
45.0,20,71.0,0.5916666666666667,8.91420899988978,2,5.0,0.6083402763722532,0,11.0,0.7362140789665147,1,8.0,0.7614564794500653,0,0.0,0.9354642424543729,3,12.0,0.38403080444037635,0,0.0,0.9135660536160906,0,0.0,0.888761399832511,0,0.0,1.0,2,13.0,0.6534134770940433,0,0.0,0.6863139900717915,6,24.0,0.36487278690668196,1,10.0,0.6896881055167425,3,17.0,0.16048996568976062,2,5.0,0.5250190530044805,0,0.0,0.8017360730204276,0,4.0,0.902025272786819,20,109.0
50.0,17,56.0,0.4117647058823529,8.134332474782342,2,7.0,0.5585446520547123,0,4.0,0.9045915517425464,1,7.0,0.12820885940240023,0,0.0,0.9213160098853297,0,12.0,0.4987752706848755,0,2.0,0.6717259670454062,3,7.0,0.2914113154067201,0,0.0,0.9194725153294839,0,6.0,0.4453814419666745,2,8.0,0.5350607162378076,2,32.0,0.4111084650223138,1,15.0,0.8220213487141798,0,16.0,0.2817503539229154,5,24.0,0.47613232052705834,1,5.0,0.6581292974847701,0,4.0,0.8908372880388863,17,149.0
