step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,B_stopped,B_accumulated_waiting_time,B_average_speed,E_stopped,E_accumulated_waiting_time,E_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0,1.0,0,0.0
10.0,1,0.0,0.0,3.636672289910106,0,0.0,1.0,0,0.0,1.0,0,0.0
15.0,2,0.0,0.0,6.791366545884929,0,0.0,1.0,0,0.0,0.9161186027052937,0,0.0
20.0,0,0.0,0.0,9.85779631465556,0,0.0,0.9789204593256385,0,0.0,1.0,0,0.0
25.0,1,0.0,0.0,8.397851714999781,0,0.0,0.3002575429468136,0,0.0,0.7234037212005608,0,0.0
30.0,3,8.0,0.6153846153846154,7.153582891898269,1,5.0,0.2468010416212666,1,3.0,0.6655185006960425,2,8.0
35.0,4,21.0,1.5,5.830139969798606,2,13.0,0.43481149189799306,1,8.0,0.39582814010248385,3,21.0
40.0,7,44.0,2.933333333333333,5.422765735831986,3,24.0,0.20578615722866644,3,20.0,0.0002570920759467767,6,44.0
45.0,5,68.0,4.25,7.3373694650952626,2,33.0,0.49359257330261064,3,35.0,0.0,5,68.0
50.0,5,93.0,5.8125,6.742231979045279,2,43.0,0.03023577368737051,3,50.0,0.22932530514815774,5,93.0
55.0,6,120.0,7.5,7.018763777875813,2,53.0,0.0,4,67.0,0.34322068305176484,6,120.0
60.0,6,150.0,8.823529411764707,4.757983678882658,2,63.0,0.2652608540403463,4,87.0,0.10551712279691434,6,150.0
65.0,10,188.0,11.058823529411764,3.934820246615363,2,73.0,0.4344260914558432,7,115.0,0.11558609004426591,9,188.0
70.0,11,237.0,11.85,3.590399600781473,4,87.0,0.10658541090355145,7,150.0,0.0,11,237.0
75.0,11,289.0,14.45,3.8401806246544887,4,104.0,0.22901148066116486,7,185.0,0.0,11,289.0
80.0,12,348.0,19.333333333333332,3.8259582190316173,5,128.0,0.16345507258708017,7,220.0,0.2628353366465886,12,348.0
85.0,10,317.0,16.68421052631579,2.560214255651628,2,90.0,0.13696081786104883,7,255.0,0.1381128620795521,9,345.0
90.0,11,358.0,17.9,4.73499227624597,2,72.0,0.366773216375278,9,297.0,0.15926427381555366,11,369.0
95.0,13,417.0,19.857142857142858,3.0266513860690325,3,86.0,0.04723049868759435,9,342.0,0.2438889487204365,12,428.0
100.0,14,483.0,23.0,2.51315326181472,4,106.0,0.0018568019069860526,10,386.0,0.15376733353743216,14,492.0
105.0,18,551.0,25.045454545454547,1.671456428063224,4,108.0,0.1839781154288408,13,443.0,0.00020683911902026142,17,551.0
110.0,17,636.0,30.285714285714285,2.0004056952357043,4,128.0,0.0,13,510.0,0.12521582635177297,17,638.0
115.0,17,721.0,31.347826086956523,1.6497075040046922,4,148.0,0.1091502553911999,13,575.0,0.027425830846138692,17,723.0
120.0,18,809.0,33.708333333333336,2.287349362069075,5,171.0,5.226861854342364e-05,13,638.0,0.07468652117082324,18,809.0
125.0,16,777.0,32.375,1.9268150964307054,2,76.0,0.16225349477482448,14,707.0,0.026886023571484174,16,783.0
130.0,19,859.0,31.814814814814813,3.1742801854639593,2,80.0,0.4785688277737683,15,779.0,0.05493467412918816,17,859.0
135.0,17,944.0,32.55172413793103,2.9971393646565754,2,90.0,0.21465080361604796,15,854.0,0.0020995943777627553,17,944.0
140.0,20,1034.0,34.46666666666667,3.7801662128003253,2,100.0,0.0,16,934.0,0.1463018141323664,18,1034.0
145.0,19,1125.0,37.5,3.1940577754684516,2,110.0,0.22216070697625512,17,1015.0,0.15744263137693515,19,1125.0
150.0,25,1232.0,37.333333333333336,2.443424475663144,3,124.0,0.2244974192969286,21,1108.0,0.08402486288069777,24,1232.0
155.0,25,1352.0,37.55555555555556,2.7563988690861865,3,139.0,0.08301296974105787,21,1213.0,0.03519934103450697,24,1352.0
160.0,27,1474.0,37.794871794871796,3.1554641411656403,4,156.0,0.2677549921807856,21,1318.0,0.043011308251262675,25,1474.0
165.0,26,1603.0,45.8,2.497808944182355,5,180.0,0.12858932909027582,21,1423.0,0.0331181963668967,26,1603.0
170.0,27,1733.0,46.83783783783784,2.041470822863774,5,205.0,0.025254472863779843,21,1528.0,0.0,26,1733.0
175.0,23,1652.0,43.473684210526315,3.7190252627278264,2,46.0,0.37195444250827087,21,1633.0,0.0,23,1679.0
180.0,23,1767.0,50.48571428571429,3.2805663693864133,2,29.0,0.33145012143535935,21,1742.0,0.12147291826899115,23,1771.0
185.0,24,1886.0,53.885714285714286,3.134632197512813,2,39.0,0.4400356236258288,22,1849.0,0.11546382046401121,24,1888.0
190.0,28,2011.0,57.457142857142856,1.4790869860044522,3,50.0,0.2822472503542248,24,1963.0,0.005207623121039408,27,2013.0
195.0,28,2095.0,59.857142857142854,1.3053407274497804,2,34.0,0.25681922754325953,26,2091.0,3.467107331250814e-06,28,2125.0
200.0,29,2235.0,55.875,2.1157016894815177,2,16.0,0.2999254360106848,26,2223.0,0.06212302088780012,28,2239.0
205.0,30,2380.0,56.666666666666664,2.8831651405356635,3,30.0,0.022906323282051777,27,2354.0,0.11781702889294825,30,2384.0
210.0,32,2533.0,57.56818181818182,2.5372520276745543,4,48.0,0.27170533966534705,27,2489.0,0.06293913862030744,31,2537.0
215.0,31,2688.0,61.09090909090909,2.8311719329666847,4,68.0,0.2904079144692151,27,2624.0,0.06751265509885905,31,2692.0
220.0,30,2790.0,60.65217391304348,3.21802184327304,2,32.0,0.2394066858041535,28,2762.0,0.052378328565091614,30,2794.0
225.0,30,2940.0,70.0,2.9707342133347474,2,42.0,0.36159046779597565,28,2906.0,0.060892828785975205,30,2948.0
230.0,31,3091.0,70.25,2.6475254116969635,2,52.0,0.47994412751532267,29,3047.0,0.08309247989095528,31,3099.0
235.0,36,3251.0,66.34693877551021,2.1007382617192873,3,63.0,0.32756169972130766,31,3194.0,0.030021075135345576,34,3257.0
240.0,33,3349.0,65.66666666666667,3.1412995965536936,1,6.0,0.4407350148177823,31,3349.0,0.046179268664843016,32,3355.0
245.0,35,3513.0,70.26,2.9598961972040128,2,13.0,0.45830587078753127,31,3504.0,0.021383475985393162,33,3517.0
250.0,35,3681.0,76.6875,2.082071242298022,2,19.0,0.24260862809782374,32,3661.0,9.609107768936938e-05,34,3680.0
255.0,39,3872.0,82.38297872340425,1.7446327090715144,6,45.0,0.13072266200406618,32,3821.0,0.0,38,3866.0
260.0,40,4068.0,86.55319148936171,1.2734436920952759,7,76.0,0.0005614212166930411,32,3981.0,0.030139203785799047,39,4057.0
265.0,40,4268.0,88.91666666666667,1.400796996607926,7,111.0,0.0,32,4141.0,0.01453147502258531,39,4252.0
270.0,42,4472.0,91.26530612244898,0.9699366973993653,7,146.0,0.0,33,4304.0,0.01676845880213636,40,4450.0
275.0,41,4618.0,88.8076923076923,1.6393847237485657,4,150.0,0.17748727729845343,34,4473.0,4.445177727385257e-07,38,4623.0
280.0,41,4818.0,90.90566037735849,2.3630170803111663,4,133.0,0.3216641747363881,34,4645.0,0.046452637588003616,38,4778.0
285.0,40,5018.0,91.23636363636363,2.0616070081324605,4,153.0,0.29207099628771155,34,4815.0,0.08074066946716665,38,4968.0
290.0,45,5234.0,95.16363636363636,1.8077038428725865,6,181.0,0.04682752071197578,37,4991.0,0.05002139331938501,43,5172.0
295.0,46,5462.0,97.53571428571429,1.1058889112901924,7,214.0,0.08818541458490953,37,5177.0,0.01205611145463243,44,5391.0
300.0,45,5520.0,95.17241379310344,1.4989361062180564,2,121.0,0.20448905741647097,40,5376.0,3.0186217883920992e-06,42,5497.0
305.0,45,5745.0,97.37288135593221,2.601607080894337,2,71.0,0.0,40,5580.0,0.10879398147916522,42,5651.0
310.0,46,5973.0,104.78947368421052,1.285231092455643,2,81.0,0.36286981364878634,41,5783.0,0.014307891872051134,43,5864.0
315.0,51,6223.0,107.29310344827586,1.1847516835804934,2,91.0,0.4273051353613077,45,6005.0,4.430960986183941e-05,47,6096.0
320.0,51,6448.0,109.28813559322033,1.2093084670812404,2,71.0,0.2961523662412495,45,6230.0,0.019696615950549057,47,6301.0
325.0,54,6709.0,113.71186440677967,0.7824865666862366,4,87.0,9.013541086015162e-05,45,6457.0,0.02588554416445547,49,6544.0
330.0,53,6974.0,114.32786885245902,1.0500871095805626,4,107.0,0.19129545952815646,45,6680.0,0.01199788789738347,49,6787.0
